recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, prog_prop_trt, prog_prop_ctrl, hr_before_after, censoring_prop, effect_size_ph, hazard_after_prog, hazard_trt, prog_rate_trt, prog_rate_ctrl, random_withdrawal, median_survival_trt, median_survival_ctrl, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766033, 0.000210859283766033, 0, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766033, 0.000210859283766033, 0, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766033, 0.000210859283766033, 0, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766033, 0.000210859283766033, 0, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
