recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, delay, effect_size_ph, hazard_trt, target_median_trt, target_hr, random_withdrawal, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m, old_seed, median_survival_trt, median_survival_ctrl, rmst_trt_360m, rmst_ctrl_360m, gAHR_360m, AHR_360m, node_name
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1948738120, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 54857012, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1813335910, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 608968442, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1203801162, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1001452656, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1680128228, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 425280377, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 2059993838, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0.1, 0, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 267301874, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0.1, 0, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 1113852633, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 0, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 350633414, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 0, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 922245018, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.1, 0, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 1520494412, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.1, 0, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 677547479, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 0, 0, 0.00379546710778889, 182.625, 1, 0.000421718567532098, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 1625018111, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 0, 0, 0.00379546710778889, 182.625, 1, 0.000421718567532098, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 97838285, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0.1, 0, 0, 0.00379546710778889, 182.625, 1, 0.000421718567532098, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 1055937449, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0.1, 0, 0, 0.00379546710778889, 182.625, 1, 0.000421718567532098, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 1317916391, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.1, 0, 0, 0.00379546710778889, 182.625, 1, 0.000421718567532098, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 294457653, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
