recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, delay, effect_size_ph, hazard_trt, target_median_trt, target_hr, random_withdrawal, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m, old_seed, median_survival_trt, median_survival_ctrl, rmst_trt_360m, rmst_ctrl_360m, gAHR_360m, AHR_360m, node_name
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 1292740617, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0.1, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 1328121624, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0.1, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 1937205357, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 484182930, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 1700876448, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.1, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 28830531, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.1, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 883539098, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.000421718567532098, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 1026883767, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.000421718567532098, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 1196818480, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0.1, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.000421718567532098, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 42056686, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0.1, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.000421718567532098, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 780596269, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.1, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.000421718567532098, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 1758791804, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
913.125, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.1, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.000421718567532098, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 91724484, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
547.875, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.1, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.000421718567532098, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 1437595961, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
913.125, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.1, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.000421718567532098, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 967336946, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0.3, 121.75, 0, 0.000632577851298148, 1095.75, 1, 0.000271104793413492, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 131599334, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.3, 121.75, 0, 0.000632577851298148, 1095.75, 1, 0.000271104793413492, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 837929016, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.3, 121.75, 0, 0.000632577851298148, 1095.75, 1, 0.000271104793413492, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1512544869, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.3, 121.75, 0, 0.000632577851298148, 1095.75, 1, 0.000271104793413492, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1637612884, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.3, 121.75, 0, 0.000632577851298148, 1095.75, 1, 0.000271104793413492, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1286599392, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.3, 121.75, 0, 0.000632577851298148, 1095.75, 1, 0.000271104793413492, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1120166802, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.3, 121.75, 0, 0.000632577851298148, 1095.75, 1, 0.000271104793413492, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1040361436, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.3, 121.75, 0, 0.000632577851298148, 1095.75, 1, 0.000271104793413492, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1692955727, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.3, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000813314380240476, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 1456582248, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0.3, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000813314380240476, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 1011202705, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0.3, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000813314380240476, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 1693024344, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0.3, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000813314380240476, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 810450727, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.3, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000813314380240476, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 1052018105, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.3, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000813314380240476, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 1308093278, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.3, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000813314380240476, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 656885966, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.3, 121.75, 0, 0.00189773355389444, 365.25, 1, 0.000813314380240476, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186547, 0.707106781186548, 0.5, 0.5, 2106663076, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.3, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.00162662876048095, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 1112593395, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0.3, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.00162662876048095, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 159919828, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0.3, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.00162662876048095, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 1509242719, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0.3, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.00162662876048095, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 906304749, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.3, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.00162662876048095, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 787397686, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
913.125, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.3, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.00162662876048095, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 2057663877, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
547.875, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.3, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.00162662876048095, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 877216651, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
913.125, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.3, 121.75, 0, 0.00379546710778889, 182.625, 1, 0.00162662876048095, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 1549161081, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 182.625, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 514460532, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 182.625, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1895815597, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 182.625, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1031589719, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 182.625, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 484547107, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 182.625, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1691953365, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 182.625, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 799636089, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 182.625, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1413604824, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 182.625, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 219995679, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 182.625, 0, 0.00189773355389444, 365.25, 1, 0, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 1442115989, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 182.625, 0, 0.00189773355389444, 365.25, 1, 0, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 1676996462, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 182.625, 0, 0.00189773355389444, 365.25, 1, 0, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 1369161349, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 182.625, 0, 0.00189773355389444, 365.25, 1, 0, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 63868307, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0, 182.625, 0, 0.00189773355389444, 365.25, 1, 0, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 1943447777, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0, 182.625, 0, 0.00189773355389444, 365.25, 1, 0, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 1080515756, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 182.625, 0, 0.00189773355389444, 365.25, 1, 0, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 520066032, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 182.625, 0, 0.00189773355389444, 365.25, 1, 0, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 1902424323, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0, 182.625, 0, 0.00379546710778889, 182.625, 1, 0, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 1647517297, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0, 182.625, 0, 0.00379546710778889, 182.625, 1, 0, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 675966471, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0, 182.625, 0, 0.00379546710778889, 182.625, 1, 0, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 273390472, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0, 182.625, 0, 0.00379546710778889, 182.625, 1, 0, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 1535414483, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0, 182.625, 0, 0.00379546710778889, 182.625, 1, 0, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 1006221310, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
913.125, 1000, 375, 750, 500, 500, 0.00379546710778889, 0, 182.625, 0, 0.00379546710778889, 182.625, 1, 0, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 348571540, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
547.875, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0, 182.625, 0, 0.00379546710778889, 182.625, 1, 0, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 1431343111, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
913.125, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0, 182.625, 0, 0.00379546710778889, 182.625, 1, 0, 131.736090921173, 131.736090921173, 1, 1, 197.60413638176, 197.60413638176, 1, 1, 0.5, 0.5, 0.25, 0.25, 87404083, 182.625, 182.625, 263.472181842347, 263.472181842347, 1, 1, ims-node2
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 182.625, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1029079185, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 182.625, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 463931567, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 182.625, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1075556410, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 182.625, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 919929764, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 182.625, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 254969431, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 182.625, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 592326021, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 182.625, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 234184417, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 182.625, 0, 0.000632577851298148, 1095.75, 1, 7.02864279220164e-05, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1554828998, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 182.625, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 1000859580, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 182.625, 0, 0.00189773355389444, 365.25, 1, 0.000210859283766049, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 1183778566, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
