recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, effect_size_ph, prevalence, hr_subgroup_relative, hazard_trt, target_median_trt, hazard_subgroup, random_withdrawal, median_survival_trt, median_survival_ctrl, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0, 0.1, 0.3, 0.00208392124087721, 365.25, 0.000625176372263164, 0, 365.25, 365.25, 153.961974929366, 154.338430815216, 1.01194155083349, 1.01194145263425, 262.790741155328, 263.472181842347, 1.0025917342803, 1.00259169887477, 0.704331160466342, 0.707106781186548, 0.5, 0.5
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0, 0.1, 0.3, 0.00208392124087721, 365.25, 0.000625176372263164, 0, 365.25, 365.25, 153.961974929366, 154.338430815216, 1.01194155083349, 1.01194145263425, 262.790741155328, 263.472181842347, 1.0025917342803, 1.00259169887477, 0.704331160466342, 0.707106781186548, 0.5, 0.5
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 0, 0.1, 0.3, 0.00208392124087721, 365.25, 0.000625176372263164, 0, 365.25, 365.25, 153.961974929366, 154.338430815216, 1.01194155083349, 1.01194145263425, 262.790741155328, 263.472181842347, 1.0025917342803, 1.00259169887477, 0.704331160466342, 0.707106781186548, 0.5, 0.5
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 0, 0.1, 0.3, 0.00208392124087721, 365.25, 0.000625176372263164, 0, 365.25, 365.25, 153.961974929366, 154.338430815216, 1.01194155083349, 1.01194145263425, 262.790741155328, 263.472181842347, 1.0025917342803, 1.00259169887477, 0.704331160466342, 0.707106781186548, 0.5, 0.5
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0, 0, 0.1, 0.3, 0.00208392124087721, 365.25, 0.000625176372263164, 0, 365.25, 365.25, 153.961974929366, 154.338430815216, 1.01194155083349, 1.01194145263425, 262.790741155328, 263.472181842347, 1.0025917342803, 1.00259169887477, 0.704331160466342, 0.707106781186548, 0.5, 0.5
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0, 0, 0.1, 0.3, 0.00208392124087721, 365.25, 0.000625176372263164, 0, 365.25, 365.25, 153.961974929366, 154.338430815216, 1.01194155083349, 1.01194145263425, 262.790741155328, 263.472181842347, 1.0025917342803, 1.00259169887477, 0.704331160466342, 0.707106781186548, 0.5, 0.5
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 0, 0.1, 0.3, 0.00208392124087721, 365.25, 0.000625176372263164, 0, 365.25, 365.25, 153.961974929366, 154.338430815216, 1.01194155083349, 1.01194145263425, 262.790741155328, 263.472181842347, 1.0025917342803, 1.00259169887477, 0.704331160466342, 0.707106781186548, 0.5, 0.5
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 0, 0.1, 0.3, 0.00208392124087721, 365.25, 0.000625176372263164, 0, 365.25, 365.25, 153.961974929366, 154.338430815216, 1.01194155083349, 1.01194145263425, 262.790741155328, 263.472181842347, 1.0025917342803, 1.00259169887477, 0.704331160466342, 0.707106781186548, 0.5, 0.5
