recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, prog_prop_trt, prog_prop_ctrl, hr_before_after, censoring_prop, effect_size_ph, hazard_after_prog, hazard_trt, prog_rate_trt, prog_rate_ctrl, random_withdrawal, exp_fup, median_survival_trt, median_survival_ctrl, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, AHRoc_6m, AHRoc_robust_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, AHRoc_12m, AHRoc_robust_12m, rmst_trt_360m, rmst_ctrl_360m, gAHR_360m, AHR_360m, AHRoc_360m, AHRoc_robust_360m, rmst_trt_fup, rmst_ctrl_fup, gAHR_fup, AHR_fup, AHRoc_fup, AHRoc_robust_fup, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 101.589411415945, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 1, 1, 1551.65573731613, 1551.65573731613, 1, 1, 1, 1, 1346.57957490603, 1346.57957490603, 1, 1, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 113.589411415945, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 1, 1, 1551.65573731613, 1551.65573731613, 1, 1, 1, 1, 1390.61337456514, 1390.61337456514, 1, 1, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 101.589411415945, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 1, 1, 1551.65573731613, 1551.65573731613, 1, 1, 1, 1, 1346.57957490603, 1346.57957490603, 1, 1, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 113.589411415945, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 1, 1, 1551.65573731613, 1551.65573731613, 1, 1, 1, 1, 1390.61337456514, 1390.61337456514, 1, 1, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 101.589411415945, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 1, 1, 1551.65573731613, 1551.65573731613, 1, 1, 1, 1, 1346.57957490603, 1346.57957490603, 1, 1, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 113.589411415945, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 1, 1, 1551.65573731613, 1551.65573731613, 1, 1, 1, 1, 1390.61337456514, 1390.61337456514, 1, 1, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 101.589411415945, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 1, 1, 1551.65573731613, 1551.65573731613, 1, 1, 1, 1, 1346.57957490603, 1346.57957490603, 1, 1, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 113.589411415945, 1087, 1087, 172.851855238269, 172.851855238269, 1, 1, 1, 1, 326.758577894082, 326.758577894082, 1, 1, 1, 1, 1551.65573731613, 1551.65573731613, 1, 1, 1, 1, 1390.61337456514, 1390.61337456514, 1, 1, 1, 1, 0.891115735780849, 0.891115735780849, 0.793305985428244, 0.793305985428244
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 45.8631371386483, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 1, 1, 520.953668629673, 520.953668629673, 1, 1, 1, 1, 485.001217088885, 485.001217088885, 1, 1, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 57.8631371386483, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 1, 1, 520.953668629673, 520.953668629673, 1, 1, 1, 1, 502.393335969411, 502.393335969411, 1, 1, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 45.8631371386483, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 1, 1, 520.953668629673, 520.953668629673, 1, 1, 1, 1, 485.001217088885, 485.001217088885, 1, 1, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 57.8631371386483, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 1, 1, 520.953668629673, 520.953668629673, 1, 1, 1, 1, 502.393335969411, 502.393335969411, 1, 1, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 45.8631371386483, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 1, 1, 520.953668629673, 520.953668629673, 1, 1, 1, 1, 485.001217088885, 485.001217088885, 1, 1, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 57.8631371386483, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 1, 1, 520.953668629673, 520.953668629673, 1, 1, 1, 1, 502.393335969411, 502.393335969411, 1, 1, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 45.8631371386483, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 1, 1, 520.953668629673, 520.953668629673, 1, 1, 1, 1, 485.001217088885, 485.001217088885, 1, 1, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 57.8631371386483, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 1, 1, 520.953668629673, 520.953668629673, 1, 1, 1, 1, 502.393335969411, 502.393335969411, 1, 1, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 31.9315685693242, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 1, 1, 262.762098240366, 262.762098240366, 1, 1, 1, 1, 254.581678331401, 254.581678331401, 1, 1, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 43.9315685693242, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 1, 1, 262.762098240366, 262.762098240366, 1, 1, 1, 1, 259.467919326334, 259.467919326334, 1, 1, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 31.9315685693242, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 1, 1, 262.762098240366, 262.762098240366, 1, 1, 1, 1, 254.581678331401, 254.581678331401, 1, 1, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 43.9315685693242, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 1, 1, 262.762098240366, 262.762098240366, 1, 1, 1, 1, 259.467919326334, 259.467919326334, 1, 1, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 31.9315685693242, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 1, 1, 262.762098240366, 262.762098240366, 1, 1, 1, 1, 254.581678331401, 254.581678331401, 1, 1, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
913.125, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 43.9315685693242, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 1, 1, 262.762098240366, 262.762098240366, 1, 1, 1, 1, 259.467919326334, 259.467919326334, 1, 1, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
547.875, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 31.9315685693242, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 1, 1, 262.762098240366, 262.762098240366, 1, 1, 1, 1, 254.581678331401, 254.581678331401, 1, 1, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
913.125, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 43.9315685693242, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 1, 1, 262.762098240366, 262.762098240366, 1, 1, 1, 1, 259.467919326334, 259.467919326334, 1, 1, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000639598592154077, 7.02864279220164e-05, 0.000158144462824537, 0, 100.671867814302, 1076, 1076, 172.744131643313, 172.838228062349, 1.00098382426426, 1.00896943846629, 1.00900887386654, 1.00900887386654, 326.360003358645, 326.663262430649, 1.00148213775928, 1.00712642211647, 1.00727774992305, 1.00727774992305, 1536.43972385133, 1520.26556778191, 0.989052714127857, 0.989043951167676, 0.99741820361776, 0.99741820361776, 1333.30757637231, 1329.67530313949, 0.993934693875448, 0.993002795833217, 0.998003867159959, 0.998003867159959, 0.889985667487159, 0.89090563852122, 0.791301975972728, 0.79258822883842
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000639598592154077, 7.02864279220164e-05, 0.000158144462824537, 0, 112.671867814302, 1076, 1076, 172.744131643313, 172.838228062349, 1.00098382426426, 1.00896943846629, 1.00900887386654, 1.00900887386654, 326.360003358645, 326.663262430649, 1.00148213775928, 1.00712642211647, 1.00727774992305, 1.00727774992305, 1536.43972385133, 1520.26556778191, 0.989052714127857, 0.989043951167676, 0.99741820361776, 0.99741820361776, 1377.23297532482, 1372.2624474337, 0.993021136441839, 0.992210286286664, 0.997797330537345, 0.997797330537345, 0.889985667487159, 0.89090563852122, 0.791301975972728, 0.79258822883842
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000639598592154077, 7.02864279220164e-05, 0.000158144462824537, 0, 100.671867814302, 1076, 1076, 172.744131643313, 172.838228062349, 1.00098382426426, 1.00896943846629, 1.00900887386654, 1.00900887386654, 326.360003358645, 326.663262430649, 1.00148213775928, 1.00712642211647, 1.00727774992305, 1.00727774992305, 1536.43972385133, 1520.26556778191, 0.989052714127857, 0.989043951167676, 0.99741820361776, 0.99741820361776, 1333.30757637231, 1329.67530313949, 0.993934693875448, 0.993002795833217, 0.998003867159959, 0.998003867159959, 0.889985667487159, 0.89090563852122, 0.791301975972728, 0.79258822883842
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000639598592154077, 7.02864279220164e-05, 0.000158144462824537, 0, 112.671867814302, 1076, 1076, 172.744131643313, 172.838228062349, 1.00098382426426, 1.00896943846629, 1.00900887386654, 1.00900887386654, 326.360003358645, 326.663262430649, 1.00148213775928, 1.00712642211647, 1.00727774992305, 1.00727774992305, 1536.43972385133, 1520.26556778191, 0.989052714127857, 0.989043951167676, 0.99741820361776, 0.99741820361776, 1377.23297532482, 1372.2624474337, 0.993021136441839, 0.992210286286664, 0.997797330537345, 0.997797330537345, 0.889985667487159, 0.89090563852122, 0.791301975972728, 0.79258822883842
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000639598592154077, 7.02864279220164e-05, 0.000158144462824537, 0, 100.671867814302, 1076, 1076, 172.744131643313, 172.838228062349, 1.00098382426426, 1.00896943846629, 1.00900887386654, 1.00900887386654, 326.360003358645, 326.663262430649, 1.00148213775928, 1.00712642211647, 1.00727774992305, 1.00727774992305, 1536.43972385133, 1520.26556778191, 0.989052714127857, 0.989043951167676, 0.99741820361776, 0.99741820361776, 1333.30757637231, 1329.67530313949, 0.993934693875448, 0.993002795833217, 0.998003867159959, 0.998003867159959, 0.889985667487159, 0.89090563852122, 0.791301975972728, 0.79258822883842
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000639598592154077, 7.02864279220164e-05, 0.000158144462824537, 0, 112.671867814302, 1076, 1076, 172.744131643313, 172.838228062349, 1.00098382426426, 1.00896943846629, 1.00900887386654, 1.00900887386654, 326.360003358645, 326.663262430649, 1.00148213775928, 1.00712642211647, 1.00727774992305, 1.00727774992305, 1536.43972385133, 1520.26556778191, 0.989052714127857, 0.989043951167676, 0.99741820361776, 0.99741820361776, 1377.23297532482, 1372.2624474337, 0.993021136441839, 0.992210286286664, 0.997797330537345, 0.997797330537345, 0.889985667487159, 0.89090563852122, 0.791301975972728, 0.79258822883842
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000639598592154077, 7.02864279220164e-05, 0.000158144462824537, 0, 100.671867814302, 1076, 1076, 172.744131643313, 172.838228062349, 1.00098382426426, 1.00896943846629, 1.00900887386654, 1.00900887386654, 326.360003358645, 326.663262430649, 1.00148213775928, 1.00712642211647, 1.00727774992305, 1.00727774992305, 1536.43972385133, 1520.26556778191, 0.989052714127857, 0.989043951167676, 0.99741820361776, 0.99741820361776, 1333.30757637231, 1329.67530313949, 0.993934693875448, 0.993002795833217, 0.998003867159959, 0.998003867159959, 0.889985667487159, 0.89090563852122, 0.791301975972728, 0.79258822883842
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000639598592154077, 7.02864279220164e-05, 0.000158144462824537, 0, 112.671867814302, 1076, 1076, 172.744131643313, 172.838228062349, 1.00098382426426, 1.00896943846629, 1.00900887386654, 1.00900887386654, 326.360003358645, 326.663262430649, 1.00148213775928, 1.00712642211647, 1.00727774992305, 1.00727774992305, 1536.43972385133, 1520.26556778191, 0.989052714127857, 0.989043951167676, 0.99741820361776, 0.99741820361776, 1377.23297532482, 1372.2624474337, 0.993021136441839, 0.992210286286664, 0.997797330537345, 0.997797330537345, 0.889985667487159, 0.89090563852122, 0.791301975972728, 0.79258822883842
