recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, effect_size_ph, prevalence, hr_subgroup_relative, hazard_trt, target_median_trt, hazard_subgroup, random_withdrawal, exp_fup, median_survival_trt, median_survival_ctrl, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, AHRoc_6m, AHRoc_robust_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, AHRoc_12m, AHRoc_robust_12m, rmst_trt_360m, rmst_ctrl_360m, gAHR_360m, AHR_360m, AHRoc_360m, AHRoc_robust_360m, rmst_trt_fup, rmst_ctrl_fup, gAHR_fup, AHR_fup, AHRoc_fup, AHRoc_robust_fup, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 271.737085776414, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 1.01822099349309, 1.01822099338821, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 1.01531033149196, 1.01531033105899, 1725.94479057361, 1579.2893087386, 0.923502571846885, 0.924647718937859, 0.983438492763125, 0.98343797817316, 1685.73830157999, 1572.38739133647, 0.929201490365757, 0.929958958955503, 0.983520182636328, 0.983519889615154, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 283.737085776414, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 1.01822099349309, 1.01822099338821, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 1.01531033149196, 1.01531033105899, 1725.94479057361, 1579.2893087386, 0.923502571846885, 0.924647718937859, 0.983438492763125, 0.98343797817316, 1692.94164899882, 1574.12973474591, 0.928091071470336, 0.928912932733841, 0.983496218469499, 0.983495898941975, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 271.737085776414, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 1.01822099349309, 1.01822099338821, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 1.01531033149196, 1.01531033105899, 1725.94479057361, 1579.2893087386, 0.923502571846885, 0.924647718937859, 0.983438492763125, 0.98343797817316, 1685.73830157999, 1572.38739133647, 0.929201490365757, 0.929958958955503, 0.983520182636328, 0.983519889615154, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 283.737085776414, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 1.01822099349309, 1.01822099338821, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 1.01531033149196, 1.01531033105899, 1725.94479057361, 1579.2893087386, 0.923502571846885, 0.924647718937859, 0.983438492763125, 0.98343797817316, 1692.94164899882, 1574.12973474591, 0.928091071470336, 0.928912932733841, 0.983496218469499, 0.983495898941975, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 271.737085776414, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 1.01822099349309, 1.01822099338821, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 1.01531033149196, 1.01531033105899, 1725.94479057361, 1579.2893087386, 0.923502571846885, 0.924647718937859, 0.983438492763125, 0.98343797817316, 1685.73830157999, 1572.38739133647, 0.929201490365757, 0.929958958955503, 0.983520182636328, 0.983519889615154, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 283.737085776414, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 1.01822099349309, 1.01822099338821, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 1.01531033149196, 1.01531033105899, 1725.94479057361, 1579.2893087386, 0.923502571846885, 0.924647718937859, 0.983438492763125, 0.98343797817316, 1692.94164899882, 1574.12973474591, 0.928091071470336, 0.928912932733841, 0.983496218469499, 0.983495898941975, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 271.737085776414, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 1.01822099349309, 1.01822099338821, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 1.01531033149196, 1.01531033105899, 1725.94479057361, 1579.2893087386, 0.923502571846885, 0.924647718937859, 0.983438492763125, 0.98343797817316, 1685.73830157999, 1572.38739133647, 0.929201490365757, 0.929958958955503, 0.983520182636328, 0.983519889615154, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 0, 0.1, 0.3, 0.000694640413625738, 1095.75, 0.000208392124087721, 0, 283.737085776414, 1095.75, 1095.75, 172.283663449922, 172.47091664017, 1.01815930350292, 1.01815928863515, 1.01822099349309, 1.01822099338821, 325.506919603342, 326.125035191387, 1.01505660483111, 1.0150565523287, 1.01531033149196, 1.01531033105899, 1725.94479057361, 1579.2893087386, 0.923502571846885, 0.924647718937859, 0.983438492763125, 0.98343797817316, 1692.94164899882, 1574.12973474591, 0.928091071470336, 0.928912932733841, 0.983496218469499, 0.983495898941975, 0.889038059660948, 0.890898718140339, 0.790990873626074, 0.7937005259841
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0, 0.1, 0.3, 0.00208392124087721, 365.25, 0.000625176372263164, 0, 102.579028592138, 365.25, 365.25, 153.961974929366, 154.338430815216, 1.01194155083349, 1.01194145263425, 1.01252616008031, 1.01252615907745, 262.790741155328, 263.472181842347, 1.0025917342803, 1.00259169887477, 1.0050445058964, 1.0050445015821, 591.663584888993, 526.944363193939, 0.918211917829164, 0.919831623069516, 0.983428827224864, 0.983424195616237, 568.474955499478, 525.536747065092, 0.926250579145393, 0.927190688168735, 0.983465450246867, 0.983465074295342, 0.704331160466342, 0.707106781186548, 0.5, 0.5
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0, 0.1, 0.3, 0.00208392124087721, 365.25, 0.000625176372263164, 0, 114.579028592138, 365.25, 365.25, 153.961974929366, 154.338430815216, 1.01194155083349, 1.01194145263425, 1.01252616008031, 1.01252615907745, 262.790741155328, 263.472181842347, 1.0025917342803, 1.00259169887477, 1.0050445058964, 1.0050445015821, 591.663584888993, 526.944363193939, 0.918211917829164, 0.919831623069516, 0.983428827224864, 0.983424195616237, 573.455570583999, 526.240555374893, 0.924213055403108, 0.925301876545658, 0.983443463879216, 0.983442994748802, 0.704331160466342, 0.707106781186548, 0.5, 0.5
