recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, effect_size_ph, prevalence, hr_subgroup_relative, hazard_trt, target_median_trt, hazard_subgroup, random_withdrawal, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m, old_seed, median_survival_trt, median_survival_ctrl, rmst_trt_10957.5, rmst_ctrl_10957.5, gAHR_10957.5, AHR_10957.5, node_name
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196264788358228, 365.25, 0.0013738535185076, 0, 154.283299184217, 154.338430815216, 1.00172541798322, 1.00172541764296, 263.373640993863, 263.472181842347, 1.00037412069531, 1.00037412053394, 0.706706201729441, 0.707106781186548, 0.5, 0.5, 929308326, 365.250000000001, 365.250000000001, 531.352113522796, 526.94436319394, 0.991896886009703, 0.991898265625266, ims-node5
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196264788358228, 365.25, 0.0013738535185076, 0, 154.283299184217, 154.338430815216, 1.00172541798322, 1.00172541764296, 263.373640993863, 263.472181842347, 1.00037412069531, 1.00037412053394, 0.706706201729441, 0.707106781186548, 0.5, 0.5, 1985026193, 365.250000000001, 365.250000000001, 531.352113522796, 526.94436319394, 0.991896886009703, 0.991898265625266, ims-node5
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196264788358228, 365.25, 0.0013738535185076, 0, 154.283299184217, 154.338430815216, 1.00172541798322, 1.00172541764296, 263.373640993863, 263.472181842347, 1.00037412069531, 1.00037412053394, 0.706706201729441, 0.707106781186548, 0.5, 0.5, 259151933, 365.250000000001, 365.250000000001, 531.352113522796, 526.94436319394, 0.991896886009703, 0.991898265625266, ims-node5
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196264788358228, 365.25, 0.0013738535185076, 0, 154.283299184217, 154.338430815216, 1.00172541798322, 1.00172541764296, 263.373640993863, 263.472181842347, 1.00037412069531, 1.00037412053394, 0.706706201729441, 0.707106781186548, 0.5, 0.5, 1110094589, 365.250000000001, 365.250000000001, 531.352113522796, 526.94436319394, 0.991896886009703, 0.991898265625266, ims-node5
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196264788358228, 365.25, 0.0013738535185076, 0, 154.283299184217, 154.338430815216, 1.00172541798322, 1.00172541764296, 263.373640993863, 263.472181842347, 1.00037412069531, 1.00037412053394, 0.706706201729441, 0.707106781186548, 0.5, 0.5, 2126998622, 365.250000000001, 365.250000000001, 531.352113522796, 526.94436319394, 0.991896886009703, 0.991898265625266, ims-node5
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196264788358228, 365.25, 0.0013738535185076, 0, 154.283299184217, 154.338430815216, 1.00172541798322, 1.00172541764296, 263.373640993863, 263.472181842347, 1.00037412069531, 1.00037412053394, 0.706706201729441, 0.707106781186548, 0.5, 0.5, 1182040436, 365.250000000001, 365.250000000001, 531.352113522796, 526.94436319394, 0.991896886009703, 0.991898265625266, ims-node5
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392529576716457, 182.625, 0.0027477070370152, 0, 131.686820496932, 131.736090921173, 1.00037412069531, 1.00037412053394, 197.669754838888, 197.60413638176, 0.9980236765507, 0.998023686887659, 0.5, 0.5, 0.251235285552264, 0.25, 501020723, 182.625, 182.625, 265.676067414007, 263.472181842347, 0.991896881337136, 0.991898260992803, ims-node5
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392529576716457, 182.625, 0.0027477070370152, 0, 131.686820496932, 131.736090921173, 1.00037412069531, 1.00037412053394, 197.669754838888, 197.60413638176, 0.9980236765507, 0.998023686887659, 0.5, 0.5, 0.251235285552264, 0.25, 1763796374, 182.625, 182.625, 265.676067414007, 263.472181842347, 0.991896881337136, 0.991898260992803, ims-node5
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392529576716457, 182.625, 0.0027477070370152, 0, 131.686820496932, 131.736090921173, 1.00037412069531, 1.00037412053394, 197.669754838888, 197.60413638176, 0.9980236765507, 0.99802368688766, 0.5, 0.5, 0.251235285552264, 0.25, 440540957, 182.625, 182.625, 265.676067414007, 263.472181842347, 0.991896881337136, 0.991898260992804, ims-node5
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392529576716457, 182.625, 0.0027477070370152, 0, 131.686820496932, 131.736090921173, 1.00037412069531, 1.00037412053394, 197.669754838888, 197.60413638176, 0.9980236765507, 0.99802368688766, 0.5, 0.5, 0.251235285552264, 0.25, 642177820, 182.625, 182.625, 265.676067414007, 263.472181842347, 0.991896881337136, 0.991898260992804, ims-node5
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392529576716457, 182.625, 0.0027477070370152, 0, 131.686820496932, 131.736090921173, 1.00037412069531, 1.00037412053394, 197.669754838888, 197.60413638176, 0.9980236765507, 0.99802368688766, 0.5, 0.5, 0.251235285552264, 0.25, 1275628687, 182.625, 182.625, 265.676067414007, 263.472181842347, 0.991896881337136, 0.991898260992804, ims-node5
913.125, 1000, 375, 750, 500, 500, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392529576716457, 182.625, 0.0027477070370152, 0, 131.686820496932, 131.736090921173, 1.00037412069531, 1.00037412053394, 197.669754838888, 197.60413638176, 0.9980236765507, 0.99802368688766, 0.5, 0.5, 0.251235285552264, 0.25, 1208332171, 182.625, 182.625, 265.676067414007, 263.472181842347, 0.991896881337136, 0.991898260992804, ims-node5
547.875, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392529576716457, 182.625, 0.0027477070370152, 0, 131.686820496932, 131.736090921173, 1.00037412069531, 1.00037412053394, 197.669754838888, 197.60413638176, 0.9980236765507, 0.998023686887659, 0.5, 0.5, 0.251235285552264, 0.25, 2044254476, 182.625, 182.625, 265.676067414007, 263.472181842347, 0.991896881337136, 0.991898260992804, ims-node5
