recruitment, n_pat, final_events, interim_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, effect_size_ph, prevalence, hr_subgroup_relative, followup, hazard_trt, hazard_subgroup, random_withdrawal, rmst_trt, median_survival_trt, rmst_ctrl, median_survival_ctrl, gAHR, AHR, cutoff_used
547.875, 300, 150, 75, 150, 150, 0.000632577851298148, 0, 0, 0.1, 0.7, 2832.47266016521, 0.000674268458967014, 0.00047198792127691, 0, 1293.31493496943, 1063.16279176888, 1317.36090921173, 1095.75, 1.02275325196246, 1.02724769461312, 2832.47266016521
913.125, 300, 150, 75, 150, 150, 0.000632577851298148, 0, 0, 0.1, 0.7, 2832.47266016521, 0.000674268458967014, 0.00047198792127691, 0, 1293.31493496943, 1063.16279176888, 1317.36090921173, 1095.75, 1.02275325196246, 1.02724769461312, 2832.47266016521
547.875, 500, 250, 125, 250, 250, 0.000632577851298148, 0, 0, 0.1, 0.7, 2832.47266016521, 0.000674268458967014, 0.00047198792127691, 0, 1293.31493496943, 1063.16279176888, 1317.36090921173, 1095.75, 1.02275325196246, 1.02724769461312, 2832.47266016521
913.125, 500, 250, 125, 250, 250, 0.000632577851298148, 0, 0, 0.1, 0.7, 2832.47266016521, 0.000674268458967014, 0.00047198792127691, 0, 1293.31493496943, 1063.16279176888, 1317.36090921173, 1095.75, 1.02275325196246, 1.02724769461312, 2832.47266016521
547.875, 1000, 500, 250, 500, 500, 0.000632577851298148, 0, 0, 0.1, 0.7, 2832.47266016521, 0.000674268458967014, 0.00047198792127691, 0, 1293.31493496943, 1063.16279176888, 1317.36090921173, 1095.75, 1.02275325196246, 1.02724769461312, 2832.47266016521
913.125, 1000, 500, 250, 500, 500, 0.000632577851298148, 0, 0, 0.1, 0.7, 2832.47266016521, 0.000674268458967014, 0.00047198792127691, 0, 1293.31493496943, 1063.16279176888, 1317.36090921173, 1095.75, 1.02275325196246, 1.02724769461312, 2832.47266016521
547.875, 1500, 750, 375, 750, 750, 0.000632577851298148, 0, 0, 0.1, 0.7, 2832.47266016521, 0.000674268458967014, 0.00047198792127691, 0, 1293.31493496943, 1063.16279176888, 1317.36090921173, 1095.75, 1.02275325196246, 1.02724769461312, 2832.47266016521
913.125, 1500, 750, 375, 750, 750, 0.000632577851298148, 0, 0, 0.1, 0.7, 2832.47266016521, 0.000674268458967014, 0.00047198792127691, 0, 1293.31493496943, 1063.16279176888, 1317.36090921173, 1095.75, 1.02275325196246, 1.02724769461312, 2832.47266016521
547.875, 300, 150, 75, 150, 150, 0.00189773355389444, 0, 0, 0.1, 0.7, 944.157553388402, 0.00196081133187169, 0.00137256793231018, 0, 439.836996547041, 365.592103938311, 439.120303070578, 365.25, 0.996628574397189, 0.995950777803681, 944.157553388402
913.125, 300, 150, 75, 150, 150, 0.00189773355389444, 0, 0, 0.1, 0.7, 944.157553388402, 0.00196081133187169, 0.00137256793231018, 0, 439.836996547041, 365.592103938311, 439.120303070578, 365.25, 0.996628574397189, 0.995950777803681, 944.157553388402
547.875, 500, 250, 125, 250, 250, 0.00189773355389444, 0, 0, 0.1, 0.7, 944.157553388402, 0.00196081133187169, 0.00137256793231018, 0, 439.836996547041, 365.592103938311, 439.120303070578, 365.25, 0.996628574397189, 0.995950777803681, 944.157553388402
913.125, 500, 250, 125, 250, 250, 0.00189773355389444, 0, 0, 0.1, 0.7, 944.157553388402, 0.00196081133187169, 0.00137256793231018, 0, 439.836996547041, 365.592103938311, 439.120303070578, 365.25, 0.996628574397189, 0.995950777803681, 944.157553388402
547.875, 1000, 500, 250, 500, 500, 0.00189773355389444, 0, 0, 0.1, 0.7, 944.157553388402, 0.00196081133187169, 0.00137256793231018, 0, 439.836996547041, 365.592103938311, 439.120303070578, 365.25, 0.996628574397189, 0.995950777803681, 944.157553388402
913.125, 1000, 500, 250, 500, 500, 0.00189773355389444, 0, 0, 0.1, 0.7, 944.157553388402, 0.00196081133187169, 0.00137256793231018, 0, 439.836996547041, 365.592103938311, 439.120303070578, 365.25, 0.996628574397189, 0.995950777803681, 944.157553388402
547.875, 1500, 750, 375, 750, 750, 0.00189773355389444, 0, 0, 0.1, 0.7, 944.157553388402, 0.00196081133187169, 0.00137256793231018, 0, 439.836996547041, 365.592103938311, 439.120303070578, 365.25, 0.996628574397189, 0.995950777803681, 944.157553388402
913.125, 1500, 750, 375, 750, 750, 0.00189773355389444, 0, 0, 0.1, 0.7, 944.157553388402, 0.00196081133187169, 0.00137256793231018, 0, 439.836996547041, 365.592103938311, 439.120303070578, 365.25, 0.996628574397189, 0.995950777803681, 944.157553388402
547.875, 300, 150, 75, 150, 150, 0.00379546710778889, 0, 0, 0.1, 0.7, 472.078776694201, 0.00392162633188707, 0.00274513843232095, 0, 219.918367058378, 182.795880990991, 219.560151535289, 182.625, 0.996629345147424, 0.995951703868247, 472.078776694201
913.125, 300, 150, 75, 150, 150, 0.00379546710778889, 0, 0, 0.1, 0.7, 472.078776694201, 0.00392162633188707, 0.00274513843232095, 0, 219.918367058378, 182.795880990991, 219.560151535289, 182.625, 0.996629345147424, 0.995951703868247, 472.078776694201
547.875, 500, 250, 125, 250, 250, 0.00379546710778889, 0, 0, 0.1, 0.7, 472.078776694201, 0.00392162633188707, 0.00274513843232095, 0, 219.918367058378, 182.795880990991, 219.560151535289, 182.625, 0.996629345147424, 0.995951703868247, 472.078776694201
