recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, effect_size_ph, prevalence, hr_subgroup_relative, hazard_trt, hazard_subgroup, random_withdrawal, rmst_trt, median_survival_trt, rmst_ctrl, median_survival_ctrl, gAHR, AHR, cutoff_used
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0, 1546.35745732805, 1063.16279176888, 1580.67500774498, 1095.75, 1.02210261709844, 1.02210515623141, 14560.0108398913
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0, 1546.35745732805, 1063.16279176888, 1580.67500774498, 1095.75, 1.02210261709844, 1.02210515623141, 14560.0108398913
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0, 1546.35745732805, 1063.16279176888, 1580.67500774498, 1095.75, 1.02210261709844, 1.02210515623141, 14560.0108398913
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0, 1546.35745732805, 1063.16279176888, 1580.67500774498, 1095.75, 1.02210261709844, 1.02210515623141, 14560.0108398913
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0, 1546.35745732805, 1063.16279176888, 1580.67500774498, 1095.75, 1.02210261709844, 1.02210515623141, 14560.0108398913
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0, 1546.35745732805, 1063.16279176888, 1580.67500774498, 1095.75, 1.02210261709844, 1.02210515623141, 14560.0108398913
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0, 1546.35745732805, 1063.16279176888, 1580.67500774498, 1095.75, 1.02210261709844, 1.02210515623141, 14560.0108398913
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0, 1546.35745732805, 1063.16279176888, 1580.67500774498, 1095.75, 1.02210261709844, 1.02210515623141, 14560.0108398913
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0, 531.72282309346, 365.592103938311, 526.891669248325, 365.25, 0.991006433122158, 0.991006419251482, 4853.33694663044
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0, 531.72282309346, 365.592103938311, 526.891669248325, 365.25, 0.991006433122158, 0.991006419251482, 4853.33694663044
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0, 531.72282309346, 365.592103938311, 526.891669248325, 365.25, 0.991006433122158, 0.991006419251481, 4853.33694663044
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0, 531.72282309346, 365.592103938311, 526.891669248325, 365.25, 0.991006433122158, 0.991006419251481, 4853.33694663044
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0, 531.72282309346, 365.592103938311, 526.891669248325, 365.25, 0.991006433122158, 0.991006419251481, 4853.33694663044
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0, 531.72282309346, 365.592103938311, 526.891669248325, 365.25, 0.991006433122158, 0.991006419251481, 4853.33694663044
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0, 531.72282309346, 365.592103938311, 526.891669248325, 365.25, 0.991006433122158, 0.991006419251482, 4853.33694663044
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0, 531.72282309346, 365.592103938311, 526.891669248325, 365.25, 0.991006433122158, 0.991006419251482, 4853.33694663044
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 265.861163310595, 182.795880990991, 263.445834624163, 182.625, 0.991007353312983, 0.991007339538609, 2426.66847331522
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 265.861163310595, 182.795880990991, 263.445834624163, 182.625, 0.991007353312983, 0.991007339538609, 2426.66847331522
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 265.861163310595, 182.795880990991, 263.445834624163, 182.625, 0.991007353312983, 0.991007339538609, 2426.66847331522
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 265.861163310595, 182.795880990991, 263.445834624163, 182.625, 0.991007353312983, 0.991007339538609, 2426.66847331522
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 265.861163310595, 182.795880990991, 263.445834624163, 182.625, 0.991007353312983, 0.991007339538609, 2426.66847331522
913.125, 1000, 375, 750, 500, 500, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 265.861163310595, 182.795880990991, 263.445834624163, 182.625, 0.991007353312983, 0.991007339538609, 2426.66847331522
547.875, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 265.861163310595, 182.795880990991, 263.445834624163, 182.625, 0.991007353312983, 0.991007339538609, 2426.66847331522
913.125, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 265.861163310595, 182.795880990991, 263.445834624163, 182.625, 0.991007353312983, 0.991007339538609, 2426.66847331522
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 6.8637779083162e-05, 1546.35745732805, 1063.16279176888, 1580.67500774498, 1095.75, 1.02210261709844, 1.02210515623141, 14560.0108398913
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 6.8637779083162e-05, 1546.35745732805, 1063.16279176888, 1580.67500774498, 1095.75, 1.02210261709844, 1.02210515623141, 14560.0108398913
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 6.8637779083162e-05, 1546.35745732805, 1063.16279176888, 1580.67500774498, 1095.75, 1.02210261709844, 1.02210515623141, 14560.0108398913
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 6.8637779083162e-05, 1546.35745732805, 1063.16279176888, 1580.67500774498, 1095.75, 1.02210261709844, 1.02210515623141, 14560.0108398913
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 6.8637779083162e-05, 1546.35745732805, 1063.16279176888, 1580.67500774498, 1095.75, 1.02210261709844, 1.02210515623141, 14560.0108398913
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 6.8637779083162e-05, 1546.35745732805, 1063.16279176888, 1580.67500774498, 1095.75, 1.02210261709844, 1.02210515623141, 14560.0108398913
