recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, effect_size_ph, prevalence, hr_subgroup_relative, hazard_trt, target_median_trt, hazard_subgroup, random_withdrawal, median_survival_trt, median_survival_ctrl, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0, 0.1, 0.3, 0.00208392124087721, 365.25, 0.000625176372263164, 0, 365.25, 365.25, 153.961974929366, 154.338430815216, 1.01194155083349, 1.01194145263425, 262.790741155328, 263.472181842347, 1.0025917342803, 1.00259169887477, 0.704331160466342, 0.707106781186548, 0.5, 0.5
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0, 0, 0.1, 0.3, 0.00208392124087721, 365.25, 0.000625176372263164, 0, 365.25, 365.25, 153.961974929366, 154.338430815216, 1.01194155083349, 1.01194145263425, 262.790741155328, 263.472181842347, 1.0025917342803, 1.00259169887477, 0.704331160466342, 0.707106781186548, 0.5, 0.5
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0, 0, 0.1, 0.3, 0.00416784248175443, 182.625, 0.00125035274452633, 0, 182.625, 182.625, 131.395370577664, 131.736090921173, 1.0025917342803, 1.00259169887477, 198.140995005318, 197.60413638176, 0.984484490186405, 0.984489828418714, 0.5, 0.5, 0.259725188507267, 0.25
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0, 0, 0.1, 0.3, 0.00416784248175443, 182.625, 0.00125035274452633, 0, 182.625, 182.625, 131.395370577664, 131.736090921173, 1.0025917342803, 1.00259169887477, 198.140995005318, 197.60413638176, 0.984484490186405, 0.984489828418714, 0.5, 0.5, 0.259725188507267, 0.25
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.3, 0, 0.1, 0.3, 0.00208392124087721, 365.25, 0.000625176372263164, 0.000609441231230975, 365.25, 365.25, 153.961974929366, 154.338430815216, 1.01194155083349, 1.01194145263425, 262.790741155328, 263.472181842347, 1.0025917342803, 1.00259169887477, 0.704331160466342, 0.707106781186548, 0.5, 0.5
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.3, 0, 0.1, 0.3, 0.00208392124087721, 365.25, 0.000625176372263164, 0.000609441231230975, 365.25, 365.25, 153.961974929366, 154.338430815216, 1.01194155083349, 1.01194145263425, 262.790741155328, 263.472181842347, 1.0025917342803, 1.00259169887477, 0.704331160466342, 0.707106781186548, 0.5, 0.5
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.3, 0, 0.1, 0.3, 0.00416784248175443, 182.625, 0.00125035274452633, 0.00121888246246195, 182.625, 182.625, 131.395370577664, 131.736090921173, 1.0025917342803, 1.00259169887477, 198.140995005318, 197.60413638176, 0.984484490186405, 0.984489828418714, 0.5, 0.5, 0.259725188507267, 0.25
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.3, 0, 0.1, 0.3, 0.00416784248175443, 182.625, 0.00125035274452633, 0.00121888246246195, 182.625, 182.625, 131.395370577664, 131.736090921173, 1.0025917342803, 1.00259169887477, 198.140995005318, 197.60413638176, 0.984484490186405, 0.984489828418714, 0.5, 0.5, 0.259725188507267, 0.25
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0.5, 0.1, 0.3, 0.00167353392603033, 454.81733079405, 0.0005020601778091, 0, 454.81733079405, 365.25, 159.070477374871, 154.338430815216, 0.814177153877718, 0.814178026116405, 279.317824705116, 263.472181842347, 0.80826806645429, 0.808272288827351, 0.754232703841596, 0.707106781186548, 0.571646243128245, 0.5
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0, 0.5, 0.1, 0.3, 0.00184804478306872, 411.868933157827, 0.000554413434920617, 0, 411.868933157827, 365.25, 156.868634532269, 154.338430815216, 0.898366322241905, 0.898366948103376, 272.105332510145, 263.472181842347, 0.89109493239512, 0.891098145401913, 0.7325680348546, 0.707106781186548, 0.539910219943658, 0.5
