scenario,n_pat,recruitment, final_events, n_ctrl, n_trt, hazard_ctrl, effect_size_ph, hr_ph, median_survival_trt, median_survival_ctrl,big dataset run,small dataset run,med_diff,AHR_6m,AHR_12m,gAHR_6m,gAHR_12m,milestone_surv_ratio_6m,milestone_surv_ratio_12m,milestone_surv_ratio_24m,RMST_diff_6m,RMST_diff_12m
11,300,913.125,225,150,150,0.00379546710778889,0.5,0.803069661752604,237.1667313,182.625,run78,run206,34.80554166666660,1.1817407301179600,0.976205094242733,1.0585133819733600,0.8074832655649230,1.054432016283020,1.5922269261419800,3.506435100822440,-11.288061110533100,6.518486274684310
12,1500,547.875,1125,750,750,0.00379546710778889,0.5,0.906576265400032,205.2655573,182.625,run79,run207,23,1.1888002224369600,0.9901602742309390,1.0677375043116500,0.8204967091437960,1.0340181232063,1.5428971478025800,3.255739362614290,-11.966949091847900,4.240988477865830
12,1500,913.125,1125,750,750,0.00379546710778889,0.5,0.906576265400032,205.2655573,182.625,run79,run207,23,1.1888002224369600,0.9901602742309390,1.0677375043116500,0.8204967091437960,1.0340181232063,1.5428971478025800,3.255739362614290,-11.966949091847900,4.240988477865830
13,300,547.875,225,150,150,0.000632577851298148,0.8,0.71782463450428,1591.988329,1095.75,run88,run214,478.52791666666700,2.838279545735740,1.6620003899611300,2.640195570088980,1.5109740687813900,0.8508468407183150,0.9244322042964600,1.0813091759818400,-25.68699841461810,-43.306281360309800
13,300,913.125,225,150,150,0.000632577851298148,0.8,0.71782463450428,1591.988329,1095.75,run88,run214,478.52791666666700,2.838279545735740,1.6620003899611300,2.640195570088980,1.5109740687813900,0.8508468407183150,0.9244322042964600,1.0813091759818400,-25.68699841461810,-43.306281360309800
14,1500,547.875,1125,750,750,0.000632577851298148,0.8,0.862202846704332,1294.977508,1095.75,,run215,202.44875000000000,3.2503998904599000,2.004154791035530,3.020988855867380,1.810313071210970,0.8009753339229980,0.858398806256658,0.9845677126435630,-30.665934030480500,-56.99636405698580
14,1500,913.125,1125,750,750,0.000632577851298148,0.8,0.862202846704332,1294.977508,1095.75,,run215,202.44875000000000,3.2503998904599000,2.004154791035530,3.020988855867380,1.810313071210970,0.8009753339229980,0.858398806256658,0.9845677126435630,-30.665934030480500,-56.99636405698580
15,300,547.875,225,150,150,0.00189773355389444,0.8,0.71782463450428,530.6627762,365.25,run75,run200,147.10841666666700,1.5409440959871800,1.1334517437431700,1.4031175721397300,0.9806897813376460,0.9146817709258990,1.1272953046932100,1.6788691003383800,-20.73539530615380,-20.094326603466500
15,300,913.125,225,150,150,0.00189773355389444,0.8,0.71782463450428,530.6627762,365.25,run75,run200,147.10841666666700,1.5409440959871800,1.1334517437431700,1.4031175721397300,0.9806897813376460,0.9146817709258990,1.1272953046932100,1.6788691003383800,-20.73539530615380,-20.094326603466500
16,1500,547.875,1125,750,750,0.00189773355389444,0.8,0.862202846704332,431.6591694,365.25,run73,run201,75.083125,1.6132052230904300,1.208451767534950,1.4715926659454400,1.0460481527540100,0.8841855369863920,1.0711502591371800,1.551312942489860,-22.95482453768850,-26.442245371411400
