recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, prog_prop_trt, prog_prop_ctrl, hr_before_after, censoring_prop, effect_size_ph, hazard_after_prog, hazard_trt, prog_rate_trt, prog_rate_ctrl, random_withdrawal, rmst_trt, median_survival_trt, rmst_ctrl, median_survival_ctrl, gAHR, AHR, cutoff_used
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1553.71135150369, 1087, 1553.71135150369, 1087, 1, 1, 14560.0108398913
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1553.71135150369, 1087, 1553.71135150369, 1087, 1, 1, 14560.0108398913
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1553.71135150369, 1087, 1553.71135150369, 1087, 1, 1, 14560.0108398913
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1553.71135150369, 1087, 1553.71135150369, 1087, 1, 1, 14560.0108398913
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1553.71135150369, 1087, 1553.71135150369, 1087, 1, 1, 14560.0108398913
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1553.71135150369, 1087, 1553.71135150369, 1087, 1, 1, 14560.0108398913
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1553.71135150369, 1087, 1553.71135150369, 1087, 1, 1, 14560.0108398913
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1553.71135150369, 1087, 1553.71135150369, 1087, 1, 1, 14560.0108398913
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766033, 0.000210859283766033, 0, 520.953668629674, 363, 520.953668629674, 363, 1, 1, 4853.33694663044
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766033, 0.000210859283766033, 0, 520.953668629674, 363, 520.953668629674, 363, 1, 1, 4853.33694663044
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766033, 0.000210859283766033, 0, 520.953668629674, 363, 520.953668629674, 363, 1, 1, 4853.33694663044
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766033, 0.000210859283766033, 0, 520.953668629674, 363, 520.953668629674, 363, 1, 1, 4853.33694663044
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766033, 0.000210859283766033, 0, 520.953668629674, 363, 520.953668629674, 363, 1, 1, 4853.33694663044
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766033, 0.000210859283766033, 0, 520.953668629674, 363, 520.953668629674, 363, 1, 1, 4853.33694663044
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766033, 0.000210859283766033, 0, 520.953668629674, 363, 520.953668629674, 363, 1, 1, 4853.33694663044
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766033, 0.000210859283766033, 0, 520.953668629674, 363, 520.953668629674, 363, 1, 1, 4853.33694663044
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 262.762098240366, 182, 262.762098240366, 182, 1, 1, 2426.66847331522
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 262.762098240366, 182, 262.762098240366, 182, 1, 1, 2426.66847331522
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 262.762098240366, 182, 262.762098240366, 182, 1, 1, 2426.66847331522
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 262.762098240366, 182, 262.762098240366, 182, 1, 1, 2426.66847331522
