recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, delay, effect_size_ph, hazard_trt, random_withdrawal, rmst_trt, median_survival_trt, rmst_ctrl, median_survival_ctrl, gAHR, AHR, ms_surv_8_trt, ms_surv_12_trt, ms_surv_8_ctrl, ms_surv_12_ctrl, cutoff_used
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 0, 1580.67500774498, 1095.75, 1580.67500774498, 1095.75, 1, 1, 0.857243982853073, 0.7937005259841, 0.857243982853073, 0.7937005259841, 14560.0108398913
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 0, 1580.67500774498, 1095.75, 1580.67500774498, 1095.75, 1, 1, 0.857243982853073, 0.7937005259841, 0.857243982853073, 0.7937005259841, 14560.0108398913
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 0, 1580.67500774498, 1095.75, 1580.67500774498, 1095.75, 1, 1, 0.857243982853073, 0.7937005259841, 0.857243982853073, 0.7937005259841, 14560.0108398913
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 0, 1580.67500774498, 1095.75, 1580.67500774498, 1095.75, 1, 1, 0.857243982853073, 0.7937005259841, 0.857243982853073, 0.7937005259841, 14560.0108398913
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 0, 1580.67500774498, 1095.75, 1580.67500774498, 1095.75, 1, 1, 0.857243982853073, 0.7937005259841, 0.857243982853073, 0.7937005259841, 14560.0108398913
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 0, 1580.67500774498, 1095.75, 1580.67500774498, 1095.75, 1, 1, 0.857243982853073, 0.7937005259841, 0.857243982853073, 0.7937005259841, 14560.0108398913
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 0, 1580.67500774498, 1095.75, 1580.67500774498, 1095.75, 1, 1, 0.857243982853073, 0.7937005259841, 0.857243982853073, 0.7937005259841, 14560.0108398913
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 0, 1580.67500774498, 1095.75, 1580.67500774498, 1095.75, 1, 1, 0.857243982853073, 0.7937005259841, 0.857243982853073, 0.7937005259841, 14560.0108398913
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0, 0, 0.00189773355389444, 0, 526.891669248325, 365.25, 526.891669248325, 365.25, 1, 1, 0.629960524947437, 0.5, 0.629960524947437, 0.5, 4853.33694663044
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0, 0, 0.00189773355389444, 0, 526.891669248325, 365.25, 526.891669248325, 365.25, 1, 1, 0.629960524947437, 0.5, 0.629960524947437, 0.5, 4853.33694663044
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 0, 0, 0.00189773355389444, 0, 526.891669248325, 365.25, 526.891669248325, 365.25, 1, 1, 0.629960524947437, 0.5, 0.629960524947437, 0.5, 4853.33694663044
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 0, 0, 0.00189773355389444, 0, 526.891669248325, 365.25, 526.891669248325, 365.25, 1, 1, 0.629960524947437, 0.5, 0.629960524947437, 0.5, 4853.33694663044
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0, 0, 0, 0.00189773355389444, 0, 526.891669248325, 365.25, 526.891669248325, 365.25, 1, 1, 0.629960524947437, 0.5, 0.629960524947437, 0.5, 4853.33694663044
