recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, delay, effect_size_ph, hazard_trt, target_median_trt, target_hr, random_withdrawal, median_survival_trt, median_survival_ctrl, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 121.75, 0.5, 0.00141987372965273, 447.200151462634, 0.816748381693065, 0, 447.200151462634, 365.25, 154.995648819091, 154.338430815216, 0.978149426847489, 0.92523055873556, 272.103911015261, 263.472181842347, 0.926583598822632, 0.850652241271737, 0.727978420438748, 0.707106781186548, 0.561699475421123, 0.5
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 121.75, 0.5, 0.00160016738320627, 410.531114540271, 0.889701138509371, 0, 410.531114540271, 365.25, 154.746225985903, 154.338430815216, 0.986426454754655, 0.953506962540248, 268.771039462805, 263.472181842347, 0.954195105666892, 0.907304339285999, 0.720032269202653, 0.707106781186548, 0.537573481800735, 0.5
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 182.625, 0.5, 0.00118808205704584, 474.333462580207, 0.77002789980949, 0, 474.333462580207, 365.25, 154.338430815216, 154.338430815216, 1, 1, 270.424899163247, 263.472181842347, 0.922385958723391, 0.842902933590495, 0.707106781186548, 0.707106781186548, 0.569186531076432, 0.5
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 182.625, 0.5, 0.0013099249433064, 447.200151462634, 0.816748381693065, 0, 447.200151462634, 365.25, 154.338430815216, 154.338430815216, 1, 1, 269.189030217552, 263.472181842347, 0.935877542543945, 0.870106847727104, 0.707106781186548, 0.707106781186548, 0.556661116275737, 0.5
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 182.625, 0.5, 0.00152068579195023, 410.531114540271, 0.889701138509371, 0, 410.531114540271, 365.25, 154.338430815216, 154.338430815216, 1, 1, 267.093187873482, 263.472181842347, 0.958940196141002, 0.916995494712959, 0.707106781186548, 0.707106781186548, 0.535642224153242, 0.5
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 243.5, 0.5, 0.00100093399632805, 474.333462580207, 0.77002789980949, 0, 474.333462580207, 365.25, 154.338430815216, 154.338430815216, 1, 1, 267.198789877135, 263.472181842347, 0.937359822435878, 0.875470577826654, 0.707106781186548, 0.707106781186548, 0.557684530263708, 0.5
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 243.5, 0.5, 0.00113426062046415, 447.200151462634, 0.816748381693065, 0, 447.200151462634, 365.25, 154.338430815216, 154.338430815216, 1, 1, 266.627686248678, 263.472181842347, 0.947096520562754, 0.894103330891055, 0.707106781186548, 0.707106781186548, 0.548704984414756, 0.5
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 243.5, 0.5, 0.00138326958317064, 410.531114540271, 0.889701138509371, 0, 410.531114540271, 365.25, 154.338430815216, 154.338430815216, 1, 1, 265.577272455567, 263.472181842347, 0.964654797558248, 0.928863144174306, 0.707106781186548, 0.707106781186548, 0.532319613848637, 0.5
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0, 0.9, 0.00123177748309179, 562.721100259219, 0.649078202028939, 0, 562.721100259219, 365.25, 163.541339743943, 154.338430815216, 0.89868083093526, 0.649078202028938, 294.13784247383, 263.472181842347, 0.829985874202102, 0.649078202028938, 0.798553460148747, 0.707106781186548, 0.637687628715536, 0.5
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 0, 0.9, 0.00135781667175766, 510.486573760127, 0.715493842099808, 0, 510.486573760127, 365.25, 161.74321686927, 154.338430815216, 0.917787150018058, 0.715493842099807, 287.964770744553, 263.472181842347, 0.861443272834886, 0.715493842099807, 0.780382363591191, 0.707106781186548, 0.608996633404174, 0.5
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 0, 0.9, 0.0015641986757196, 443.132443032576, 0.824245675853505, 0, 443.132443032576, 365.25, 158.856579578829, 154.338430815216, 0.949024731312789, 0.824245675853505, 278.239959756588, 263.472181842347, 0.913581201816046, 0.824245675853505, 0.75151674859345, 0.707106781186548, 0.564777423416471, 0.5
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 60.875, 0.9, 0.00115099559440287, 562.721100259219, 0.649078202028939, 0, 562.721100259219, 365.25, 158.700220358221, 154.338430815216, 0.927673004717881, 0.751535396001132, 286.251270204419, 263.472181842347, 0.849114545236501, 0.689656699924166, 0.774406581892006, 0.707106781186548, 0.627595885457571, 0.5
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 60.875, 0.9, 0.00128471481647132, 510.486573760127, 0.715493842099808, 0, 510.486573760127, 365.25, 157.899884529991, 154.338430815216, 0.940810735474019, 0.79618789091922, 281.924290004687, 263.472181842347, 0.875909707048299, 0.745520159660188, 0.761901071616506, 0.707106781186548, 0.602565080299118, 0.5
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 60.875, 0.9, 0.00151108280818327, 443.132443032576, 0.824245675853505, 0, 443.132443032576, 365.25, 156.564407704978, 154.338430815216, 0.962721206780004, 0.871667333415977, 274.852925491134, 263.472181842347, 0.92132142596396, 0.839878347978352, 0.741189565890699, 0.707106781186548, 0.562445881705104, 0.5
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 121.75, 0.9, 0.0010479102147548, 562.721100259219, 0.649078202028939, 0, 562.721100259219, 365.25, 155.516032242581, 154.338430815216, 0.960523401702005, 0.866750617802225, 279.286982066901, 263.472181842347, 0.869109965618719, 0.733092809738239, 0.744650279348362, 0.707106781186548, 0.614949457500129, 0.5
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 121.75, 0.9, 0.00118871789166521, 510.486573760127, 0.715493842099808, 0, 510.486573760127, 365.25, 155.318133340987, 154.338430815216, 0.967332842070695, 0.888899287943824, 276.517966551878, 263.472181842347, 0.891053490909584, 0.777654947327255, 0.738294662904147, 0.707106781186548, 0.594222252699521, 0.5
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 121.75, 0.9, 0.00143784494265749, 443.132443032576, 0.824245675853505, 0, 443.132443032576, 365.25, 154.970702897889, 154.338430815216, 0.97897868925086, 0.928052077640243, 271.767480545137, 263.472181842347, 0.929335629119026, 0.856312596132618, 0.727182449274659, 0.707106781186548, 0.559246854165047, 0.5
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 182.625, 0.9, 0.000911805172543511, 562.721100259219, 0.649078202028939, 0, 562.721100259219, 365.25, 154.338430815216, 154.338430815216, 1, 1, 273.294844262008, 263.472181842347, 0.890782144825208, 0.781165664815787, 0.707106781186548, 0.707106781186548, 0.598641708098538, 0.5
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 182.625, 0.9, 0.0010570729174061, 510.486573760127, 0.715493842099808, 0, 510.486573760127, 365.25, 154.338430815216, 154.338430815216, 1, 1, 271.773976989529, 263.472181842347, 0.907633134384866, 0.813618626430124, 0.707106781186548, 0.707106781186548, 0.582968845784889, 0.5
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 182.625, 0.9, 0.00133037884156206, 443.132443032576, 0.824245675853505, 0, 443.132443032576, 365.25, 154.338430815216, 154.338430815216, 1, 1, 268.983319561752, 263.472181842347, 0.938127605046201, 0.874668102958853, 0.707106781186548, 0.707106781186548, 0.55458564690492, 0.5
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 243.5, 0.9, 0.000723790062746568, 562.721100259219, 0.649078202028939, 0, 562.721100259219, 365.25, 154.338430815216, 154.338430815216, 1, 1, 268.405698520702, 263.472181842347, 0.915536237649688, 0.836857022648609, 0.707106781186548, 0.707106781186548, 0.576823148889762, 0.5
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 243.5, 0.9, 0.000865395802240729, 510.486573760127, 0.715493842099808, 0, 510.486573760127, 365.25, 154.338430815216, 154.338430815216, 1, 1, 267.785670916683, 263.472181842347, 0.92704068187321, 0.856552801845968, 0.707106781186548, 0.707106781186548, 0.566963665512587, 0.5
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0, 243.5, 0.9, 0.00115737230220113, 443.132443032576, 0.824245675853505, 0, 443.132443032576, 365.25, 154.338430815216, 154.338430815216, 1, 1, 266.529307494361, 263.472181842347, 0.948754462140149, 0.897333257499065, 0.707106781186548, 0.707106781186548, 0.547163182617162, 0.5
